,Functional Area,Applies To,Time Scale,Time Range,Versions,Breakback,Users List,Cell Count,Notes,Read Access Driver,Write Access Driver,Data Tags,Managed By,Referenced By,Used in Dashboards,Line Items
IM 09. FTE Type L1,SYSTEM,FTE Type L1,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,1,,,,,,,,ITEM
IM 10. FTE Type L2,SYSTEM,FTE Type L2,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,8,,,,,,"'└ IP 10f. NEW - Jaar FTE tarief/uren per KP', 'RP 24. FTE Versie Variance Totals'",,"ITEM, Eigen?, Inleen?, Parent"
IM 13. Afdeling L5,SYSTEM,Afdeling L5,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,3028,,,,,,"'LO 06. Subafdeling', '└ DA 28b. Meerjarenplan Euros SIP Thema selectie', 'IP 11. IC & Leenmonteurs input', 'IP 13. UMDT op Activiteiten', 'IP 19. UMDT op L3++ Thema''s', 'IP 20. UMDT Thema''s op Kostenplaats', 'IP 25.  IC allocation naar kostenplaats', 'IP 26. Leenmmonteurs', 'IP 38. Loonkosten prestatiesoort', 'CA 18. Invoer seizoenspatroon IC', 'CA 20. Toeslag Direct', 'CA 29. MJP naar Afdelingen', 'CA 34. MJP naar thema''s', 'CA 34. MJP naar thema''s - Meerjarig', '└ CA 47a. Versturende Toeslag Indirect Staging', 'RP 01. IC output', 'RP 13. UMDT - Afdeling', 'RP 15. UMDT - Afdeling E/G Regio OPEX', 'RP 25. Leenmonteur overview', 'RP 27. Check report overview', 'FI 12. FIlter DB/TS', '└ FI 07a. User Filters - MJP Drivers L6', '└ FI 07c. User Filters - Afdeling L5', '└ FI 07d. User Filters - Afdeling L5 SS', '└ FI 07d. User Filters - Afdeling L5 DB/TS', '└  FI 07n. User Fitlers - Afdeling + Support list', 'IM 05c. Subafdeling', 'IM 18. KPI Informatie', 'IM 24. Dummy Afdelingen', 'IM 62 Kostenplaats', 'EX 05. DB/TS export to AACxUMD', 'EX 08. Uurtarief export to Data Hub Afdeling', 'EX 09. Export Directe Toeslagen to AACx UMD', 'SEC 04. IC Afdelingen Access'",,"ITEM, CODE, NAME, PARENT, CODE PARENT, Code Creation, ITEM TOTAL, Entiteit, Dummy Afdeling, Mapping Afdeling Directeuren, RvB, Directeur, Hoofd Business Control, ABC'er, Logic/Booleans, Parent=Operations?, SS - DB/TS?, SS - Budget?, SS - IC?, SS IC Item, Is a Parent?, Logic 4: IT, Logic 9: Staven?, Logic 10: Directie, Logic 11: Supply Chain, Logic 12: OPS support, Logic 13: VGMK, Logic 14: Bedrijfsschool, Logic 15: Subset OPS (NON-SIP), Logic 19: Staven Subset Budget Afdelingen, Logic 20: DNWG, Logic 21: AM, Logic 22: Keten, Code in DH 2.0, Code in AAC"
IM 14. Risico's  & Kansen,SYSTEM,Risico & Kansen items,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,12005,,,,,,,,"Count, Rank, Parent item, Parent, Display name, Filter afdeling"
IM 15. Risico & Kansen soorten,SYSTEM,Risico & Kansen soort,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,12,,,,,,"'IP 03. Risico & Kansen', 'CA 05. Risico & Kansen', 'RP 19. Risico & Kansen'",,"Eenheid, EBIT?, CAPEX?, Formatie?"
IM 16. Users,SYSTEM,Users,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,780,,,,,,,,"Voornaam, Achternaam 2.0, Achternaam, Voor- en Achternaam, Welkoms bericht, test, Bedrijf, Stedin?, Mapping, Gevuld?, Nieuw?, Aanmaken?"
IM 18. KPI Informatie,SYSTEM,KPI's,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,13001,,,,,,'└ FI 07e. User Filters - KPI',,"ITEM, CODE, KPI Soort, Eenheid, KPI Naam, Strategisch Thema, KPI type (RGS), Afdeling, Portefeuillehouder, KPI Regisseur, Business Control, Handmatig - Portfeulliehouder, Handmatig - KPI Regisseur, Handmatig - Business Conrol, Toelichting, SPIN Code (SIM), Excel Code, Verplicht?, Verwijderen?, Keten, Afdelings KPI, Keten KPI, Tonen in Afdelingsplan?, Tonen in ketenplan?, Afdeling - L5, Read Access?, Write access?"
IM 19. DB/TS Items,SYSTEM,DB/TS items,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,28,,,,,,,,"Item, Export to AAC x UMD?"
MA 13. R&K Mapping,SYSTEM,Risico & Kansen kostensoorten,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,17,,,,,,,,R&k Soort
IM 19. COEA,SYSTEM,COEA,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,56,,,,,,"'└ DA 28a. Meerjarenplan Euros Driver Selectie', '└ DA 28a NEW. Meerjarenplan Euros Driver Selectie', 'IP 10. Verdeling naar kostenplaatsen', 'IP 10x2. NEW Handmatig Verdeling naar KP', '└ IP 10a. Verdeling naar grootboekrekening', '└ IP 10a NEW. Verdeling naar grootboekrekening', '└ IP 10b. Verdeling naar grootboekrekening - Import', '└ IP 10c. Selecteer seizoenspatroon', 'IP 28. BAK, Subsidie, Overige Omzet', '└CA 00a. SIP- Delta Analyse', 'CA 01. SIP - continued', 'CA 04. FTE naar COEA', 'CA 07. Variante SIP/MJP', 'CA 11. Verdeling naar Grootboekrekening overzicht', 'CA 21. Berekend UMDT op Activiteit', 'CA 23. Berekend UMDT op L3++ Thema''s', 'CA 29. MJP naar Afdelingen', 'CA 32. Toeslag Indirect MJP', 'CA 34. MJP naar thema''s', 'CA 34. MJP naar thema''s - Meerjarig', 'CA 39. Other Rekeningcategorie GBR', 'CA 61. Monthly allocation 5 years Opex/Capex', 'CA 62. MJP naar thema''s Opex/Capex', '└CA 41a. Netverder Inflatie - Naar rekeningcategori', 'CA 44. Inflatie Staging', '└ RP 06a. samenvatting COEA', '└ RP 06c.TOTEX Analyse', 'RP 16. MJP Inflatie', 'EX xx. Export plan to FSP'",,"Item, Name, Afdelingskosten?, EBIT?, COEA short code, Short code_COEA, Afdelingskosten, OPEX, CAPEX, EXTERN, -- Technical --, COEA - OPEX CAPEX, SS OPEX-CAPEX (only OP/CA), SS - COEA - zonder AFD, OPEX/CAPEX?"
IM 20. COEA-KP-ACC,SYSTEM,Uni-code COEA-MJP-ACC,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,79260,,,,,,"'IP 05. Seizoenspatronen', '└ IP 10c. Selecteer seizoenspatroon', '└ IP 10d. Calculatie seizoenspatronen', '└ CA 11a. Verdeling naar maand overzicht', '└ CA 11a NEW. Verdeling naar maand overzicht', 'CA 16. Controle Dekking Uren', 'CA 16 NEW. Controle Dekking COEA', '└CA 16a. Controle UMD vs Thema', 'CA 50. Monthly allocation key FSP', 'CA 54. Bezettingsresultaat en dekkingsgraad', 'RP 20. COEA tabel per kostenplaats', 'RP 29. P&L Overzicht', 'RP 27. Check report overview', 'RP 30. Controle DB en TS', 'RP 28. Controle Volledigheid GBR/Maand', '└ FI 07i. User Filters - COEA-KP-ACC', '└ FI 07an. User Filters MJP Versions - COEA-MJP-ACC'",,"ITEM, NAME, CODE, COEA, Afdeling, MJP Activiteit, Kostensoort, Rekeningcategorie, Account, --- Data Validation ---, First ""-"", Second ""-, Activiteit from Name, AN MJP, --- List Maintenance ---, Contains Data?, Delete?"
IM 24. Dummy Afdelingen,SYSTEM,Dummy Afdelingen,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,204,,,,,,"'IP 11. IC & Leenmonteurs input', 'IP 22. Create KPI_Afdeling', 'IP 26. Leenmmonteurs', 'CA 18. Invoer seizoenspatroon IC', 'RP 01. IC output', 'RP 25. Leenmonteur overview', 'RP 19. Risico & Kansen', '└ FI 07w. User Filters - Dummy Afdelingen', 'IM 18. KPI Informatie', 'IM 43. KPI_Afdeling', 'SEC 04. IC Afdelingen Access'",,"ITEM, Name, KPI Afdeling, IC?, Afdeling, Afdeling for code"
IM 26. SIP Planvarianten,SYSTEM,SIP Planvarianten,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,26,,,,,,,,"ITEM, Planjaar"
IM 27. Thema L3 Verrijking,SYSTEM,SIP Thema L3 MJP verrijking,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,312,,,,,,,,"ITEM, Parent, Delete?"
IM 29. User filter,SYSTEM,User Filters,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,14,,,,,,,,"Start, End"
IM 33. Rekeningcategorie,SYSTEM,Rekeningcategorie,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,148,,,,,,"'└ DA 28a. Meerjarenplan Euros Driver Selectie', '└ DA 28a NEW. Meerjarenplan Euros Driver Selectie', 'IP 10x2. NEW Handmatig Verdeling naar KP', '└ IP 10a NEW. Verdeling naar grootboekrekening', '└CA 41a. Netverder Inflatie - Naar rekeningcategori', 'RP 16. MJP Inflatie', '└ FI 07ba. User Filters - Rekeningcategorie', 'MA 06. NEW. COEA -> Rekeningcategorie', 'MA 15. COEA -> Rekeningcategorie', 'EX 01. Export plan to FSP'",,"Item, LIS 29, Totaallijn?, Activering?, Toeslag Direct?, Toeslag Indirect?, Uren?, Omzet?, Personeel?, IC?, niet cf IAS 16?, Uren & TD?, UMD?"
IM 34. SIP Activiteit L4,SYSTEM,SIP Activiteit L4,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,45543,,,,,,"'IM 35. SIP Subactiviteit L5', 'IM 37. SIP Activiteit L4 +', 'IM 38. Tafel L2', 'IM 39. Thema L3'",,"Item, Code, Name, Parent (Tafel), Parent (Thema), Afdeling, Afdeling (Version), Product E/G/O, OPEX/CAPEX, In scope SIP, --- Maintenance ---, Niet in SIP Hierarchy?, Geen SIP Q geladen in versie?, Geen Q uit SIP?, Check delete?, Delete Activiteit?, CF Delete, In scope SIP?, Delete niet in scope?, ---SIP Activiteit L4 PLUS---, COEA, SIP Activiteit L4 +, SIP Activiteit L4 + Code, AN SIP Activiteit L4 +, FO SIP Activiteit L4 +, Update SIP Activiteit L4 +, Count Activiteit L4 + Code"
IM 35. SIP Subactiviteit L5,SYSTEM,SIP Subactiviteit L5,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,11870,CHECK IF NEEDED,,,,,,,"Item, Code, Name, Parent (Tafel), Parent (Thema), Parent (Activiteit), Afdeling, Eenheid, OPEX / CAPEX, TEMP - Delete"
IM 36. SIP Subactiviteit L6,SYSTEM,SIP Subactiviteit L6,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,13035,CHECK IF NEEDED,,,,,,,"Item, Code, Name, Parent (Tafel), Parent (Thema), Parent (Activiteit L4), Parent (Activiteit L5), Afdeling, Eenheid, OPEX / CAPEX, Clear?"
IM 37. SIP Activiteit L4 +,SYSTEM,"MJP Versions L2, SIP Activiteit L4 +",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,1314213,,,,,,"'IP 13. UMDT op Activiteiten', 'IP 17. UMDT op Kostenplaats', 'IP 41. Input Activiteit L4+ split', 'CA 21. Berekend UMDT op Activiteit', '└ CA 21a. Allocatie naar Kostenplaats Activiteit L4+', '└ CA 21b. UMDT KPI''s', '└  CA 21d. Activiteit_kostenplaats combinatie', '└ CA 25a. FTE & Uurtarief input', '└CA 35g. Monthly allocation on thema L3', 'FI 10. Activiteit L4 + > Afdelingen', '└  FI 07m. User Filters - Activiteit L4 + (UMD)', 'FI 11. Activiteit L4 +', 'MA 12.  Afdeling op L4+'",,"Item, Code, Name, Tafel, Thema, Parent, Clear?, Afdeling SIP, Afdeling MJP Aanpassing, Afdeling Final, Selection list input, COEA, In scope SIP?, Delete niet in scope?, ---TECHNICAL---, Tafel L2 Filter, Thema L3 Filter, Afdeling Filter, Dummy List for UMD, SS - Activiteit L4+ UMD"
IM 38. Tafel L2,SYSTEM,SIP Tafel L2,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,84,,,,,,'└  FI 07l. User Filters - Tafel L2',,"ITEM, Code, --- Maintenance ---, Niet in SIP Hierarchy?, Geen Q uit SIP?, Check delete?, Delete Tafel?, CF Delete"
IM 39. Thema L3,SYSTEM,SIP Thema L3,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,1702,,,,,,"'CA 34. MJP naar thema''s', 'CA 34. MJP naar thema''s - Meerjarig', 'RP 13. UMDT - Afdeling', 'RP 15. UMDT - Afdeling E/G Regio OPEX', '└  FI 07t. User Filters - Thema', 'IM 41. Thema L3 ++', '└EX 01d. Export Tafel/Thema to FSP'",,"Item, Code, Name, L3+ Code, L3+ Name, AN L3+, L3+ Create?, Tafel L2, Werkstroom L1, Niet toegwezen?, --- Maintenance ---, Niet in SIP Hierarchy?, Geen Q uit SIP?, Check delete?, Delete Thema?, CF Delete, BLANK, Count, Count Total"
IM 40 Thema L3+,SYSTEM,SIP Thema L3+,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,1008,,,,,,'IM 41. Thema L3 ++',,"Item, Code, 1st  ""_"", 2nd ""_"", Display Name Upload, Display Name from Code, Display Name Final, Thema L3"
IM 41. Thema L3 ++,SYSTEM,SIP Thema L3++,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,5664,,,,,,"'IP 19. UMDT op L3++ Thema''s', 'IP 40. Input Thema L3++ split', '└CA 35f. Monthly allocation Thema L3++ to UMDT  to KP', '└CA 35g. Monthly allocation on thema L3', 'CA 42. Materiaal Staging Thema L3++', '└  FI 07r. User Filters - Thema L3++ & Afdeling', '└  FI 07t. User Filters - Thema L3++', 'MA 11. Afdeling op L3++'",,"AN Thema L3++, AN Thema L3, AN Thema L3+, AN Tafel L2, Thema L3, Thema L3+, Thema L3++, Code, 1st  ""_"", 2nd ""_"", Display Name Upload, Display Name from Code, Display Name Final, Consument filter, Extern Themas (Consument), AN Extern Thema, CODE Extern Thema, Parent Extern Thema, Create Extern Thema?, End user created, Extern?, Display name extern, Delete?, Summary Item"
IM 42. SPIN KPI's,SYSTEM,SPIN - KPI,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,4190,,,,,,,,"KPI ID, KPI Naam, Hoofdafdeling, Hoofd KPI in SPIN?, KPI Naam text"
IM 43. KPI_Afdeling,SYSTEM,KPI_Afdeling,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,443641,,,,,,"'IP 21. Input KPI''s - MJP', '└ IP 21a. Input KPI''s - Months', 'IP 22. Create KPI_Afdeling', 'IP 48. KPI report creation input', 'CA 28. KPI Admin per KPI', 'RP 18. KPI Waarde over years', '└ RP 18a. Powerpoint KPI''s Waarde', '└ RP 18b. Powerpoint KPI''s Master Data', 'RP 27. Check report overview', '└ FI 07v. User Filters - KPI_Afdelingen'",,"KPI ID, L - KPI Naam, New code, Number TEST, Afdeling, Afdeling L5, Omschrijving, L - Groepering L1, L - Categorie L2, L - YTD Berekening, L - Eenheid, Groepering L1, Categorie L2, YTD Berekening, KPI Naam, Eenheid, LE 25, BU 25, AC 24, AC 23, Content leverancier, Data Leverancier, Business Controller 1, Business Controller 2, Type Code, Typenaam, Frequentie, Oplevering datum, Strategisch thema, Ketenobjective, Metrics, Overige Rapportagepunten, Loaded from SPIN?, Aangemaakt door, Sortering, Sortering final, ---Technical---, SPIN - Groepering L1, SPIN - Groepering L2, SPIN - YTD Berekening, SPIN - Eenheid, Count, Hoofd KPI in SPIN?, Count SPIN, Verplicht?, Show in PPT?, Hoofdkpi?, Soort KPI, BSC Groep?, Keten BSC?, Afdeling BSC?, Jaarverslag?, Jaarplan?, Meerjarenplan?, Financieringsplan?, LTIP?, CSRD?, Duurzaamheidsverslag?, Monitoringsdashboard?, Strategisch Objective?, Ketenobjective?, Strategische KPI's?, Focus KPI's?, Monitorings KPI's?, Metric KPI's?, Overige Rappportagepunten?, Verwijder KPI?, ---User Filter---, Afdeling Filter, SPIN - KPI FIlter, KPI Cluster Filter, Fitler Verplicht KPI, ---Verplicht & Opleverdatum deduction---, Is Strategisch objective?, Is Ketenobjective?, Is Keten BSC?, Is Afdeling BSC?, Is Strategische kpi's?, Is Focus kpi's?, Is Monitoring kpi's?, In Meerjarenplan?, In Financieringsplan?, Is LTIP kpi's?, In Jaarverslag?, In Jaarplan?, Is Metrics?, Is Overige Rapportagepunten?, Is CSRD?, Is Duurzaamheidsverslag?, Is Monitoringsdashboard?, ---KPI for dashboarding---, Verplicht, BSC Groep, Afdeling BSC, Focus KPI, Strategische KPI, Monitoring KPI, -- Technical --, DCA - Read, DCA - Write, Write access Show in PPT?, Count verwijderen, Dummy, Count total DB, Count total, Verplicht ANY, Due Date MIN, Format Verwijder KPI, KPI nummering, MAX KPI nummering, Format input, Write access - not in SPIN"
IM 44 LIS (CA 24) Kostencategorieen voor Uurtariefen,SYSTEM,LIS (CA 24) Kostencategorieen voor Uurtariefen,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,160,,,,,,"'CA 25. MJP Uren uitvoeringskosten', 'CA 56. Opslag per uur', 'RP 27. Check report overview'",,"Totaal niet cf IAS 16, Totaal kosten, Totaal Kosten excl niet cf IAS 16, v2, Item, Name, Mapping for CA 25"
IM 45 LIS (CA 24) Kostencategorieen voor Uurtariefen no time,SYSTEM,LIS (CA 24) Kostencategorieen voor Uurtariefen no time,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,66,,,,,,'CA 25. Budget Uren uitvoeringskosten',,"Totaal niet cf IAS 16, Totaal kosten, Totaal Kosten excl niet cf IAS 16"
IM 46. Regio,SYSTEM,Regio,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,5,,,,,,'└ FI 07bd. User Filters - Regio',,Item
IM 47. Prestatiesoorten,SYSTEM,F2 Prestatiesoorten,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,489,,,,,,"'IP 38. Loonkosten prestatiesoort', 'EX 07. Uurtarief export to Data Hub Subafdeling', 'EX 08. Uurtarief export to Data Hub Afdeling'",,"Item, Display Name, Code"
IM 52. LIS Budgetitems,SYSTEM,LIS (DA45) Budgetitems,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,33,,,,,,"'└ IP 10a. Verdeling naar grootboekrekening', '└ IP 10b. Verdeling naar grootboekrekening - Import', 'CA 11. Verdeling naar Grootboekrekening overzicht', 'CA 17. Controle Volledigheid KP/GBR/Maand/Thema', 'SEC 03. Subset Account L12 - Budget Access'",,"Summing Item, Mapping kostensoorten, Mapping Rekeningcategorie"
IM 59. Datum proces run,SYSTEM,,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,6,,,,,,,,"Import SIP Anaplan into MJP, Update Organisatie structuur, Update BPC Data, Update Parameters, Update Account lijst, Update Hierarchies"
IM 60. Period dummy values,SYSTEM,Dummy Period,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,13,,,,,,'DA 31. Historical data SAP BPC',,Numerical value
IM 61. IKT items,SYSTEM,IKT items,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,10,,,,,,,,"Item, Code"
IM 62 Kostenplaats,SYSTEM,MJP Kostenplaats L7,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,16812,,,,,,"'└ IP 10a. Verdeling naar grootboekrekening', '└ IP 10a NEW. Verdeling naar grootboekrekening', '└ IP 10b. Verdeling naar grootboekrekening - Import', '└IP 28a. BAK, Subsidie Meerjarig', 'IP 35. Personeelskosten handmatig naar grootboekrekening', 'CA 20. Toeslag Direct', '└ CA 21a. Allocatie naar Kostenplaats Activiteit L4+', '└ CA 21a NEW. Allocatie naar CC Activiteit L4+ - Copy', '└  CA 21d. Activiteit_kostenplaats combinatie', '└ CA 22c. Collect indirecte toeslagen', '└  CA 23a. Allocatie naar Kostenplaats Thema L3 +', 'CA 26. Calculatie Toeslag Indirect', '└CA 35f. Monthly allocation Thema L3++ to UMDT  to KP', 'CA 36. Doorbelastingen naar Maand', 'CA 38. Toeslagen GBR', 'CA 42. Materiaal Staging Thema L3++', 'RP 14. UMDT - Kostenplaats', '└ FI 07a. User Filters - MJP Drivers L6', '└ FI 07b. User Filters - MJP Drivers L6 & Time', 'MA 07. Kostenplaats L7 Aggregation mapping - Version based'",,"ITEM, Name Kostenplaats, Code Kostenplaats, Code_Kostenplaats, Subafdeling, Afdeling, Afdeling from Budget SS, Value in actuals?, Value in budget?, Logic 22?, Filter Create Active SS, Add to Budget SS?, Filter Create Budget SS, Always False, SS Kostenplaats Active?, SS Kostenplaats Budget?, Parent delete?, Filter Active, Filter Budget"
IM 63. DB/TS,SYSTEM,DB/TS items,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,112,,,,,,"'IP 16. Invoer DB/TS kosten', 'IP 18. Doorbelasting & Toeslagen split', 'CA 33. Toeslag indirect dekkings controle', 'CA 36. Doorbelastingen naar Maand'",,"ITEM, Name, Doorbelasting?, Toeslag?, Indirecte toeslag?, Handmatig?, Percentage?, Summing Item"
IM 64. Eenheid,SYSTEM,Eenheid,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,1,,,,,,"'IP 13. UMDT op Activiteiten', 'IP 19. UMDT op L3++ Thema''s', 'CA 21. Berekend UMDT op Activiteit', 'CA 23. Berekend UMDT op L3++ Thema''s'",,AN Stelpost
IM 65. Activiteit L4+_Kostenplaats,SYSTEM,Activiteit_Kostenplaats,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,556,,,,,,"'└CA 35c. Monthly allocation Activity L4+ to UMDT - Copy', 'CA 38. Toeslagen GBR', 'CA 43. Materiaal Staging Activiteit L4+', '└ FI 07ai. User Filters - Activiteit_kostenplaats'",,"Activiteit L4+, Kostenplaats, Afdeling, Summary Item"
IM 99. Afdelingskosten Split,SYSTEM,Drivers GBR,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,4,HV: Migrate to Lookup module,,,,,'└ IP 10a. Verdeling naar grootboekrekening',,"Actuals, Laatste MJP, Vrije Invoer, Automatische Allocatie"
IM 66. OPEX/CAPEX,SYSTEM,OPEX CAPEX,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,20,,,,,,"'CA 40. BAK Inflatie + Meerjarig', 'EX 01. Export plan to FSP', '└EX 01a. Export plan to FSP - BAK'",,"ITEM, OPEX?, CAPEX?, OPEX BAK?, CAPEX BAK?"
IM 67. LIS (IP 10d) Waarde Selectie,SYSTEM,LIS (IP 10d) Waarde Selectie,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,4,?,,,,,'└ FI 07z. User Filters - Inflation Selection IP10d',,"Item, Incl. inflation?"
IM 68. LIS (RP 20) Waarde Selectie,SYSTEM,LIS (RP 20) Waarde Selectie,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,4,?,,,,,'└ FI 07ab. User Filters - Inflation Selection RP20',,"Item, Incl. Inflatie?"
IM 69. Inflatie,SYSTEM,Inflatie excl/incl,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,4,,,,,,"'CA 07. Variante SIP/MJP', 'CA 54. Bezettingsresultaat en dekkingsgraad', '└ RP 06c.TOTEX Analyse', 'RP 29. P&L Overzicht', 'RP 30. Controle DB en TS'",,"Item, Inc Inflatie?"
IM 70. Kostensoort (Inflatie Mapping),SYSTEM,Kostensoort,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,14,,,,,,"'└ IP 16b. Invoer DB/TS Inflatie', '└DA 03b. Inflatie ( Merge)'",,"Mapping naar Kostensoort (cumulatief), Mapping naar Kostensoort"
IM 71. Support List Dep,SYSTEM,Support list dep,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,5,HV: TBC but if needed this is an IM module.,,,,,'LO 01. Load SIP',4.2 SIP Import,Map to
IM 72. IAS 16 Inflatie,SYSTEM,IAS16 kosten,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,16,,,,,,'IP 02. IAS16 kosten (cumulatief)',,"Inflatie, Inflatie YOY"
IM 73. Mapping DA 45 -> Kostencategorie,SYSTEM,LIS (DA45) Budgetitems,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,22,HV: Delete after LIS removal.,,,,,'CA 11. Verdeling naar Grootboekrekening overzicht',,"Mapping, TS/DB/IC?"
IM 74. LIS CA21 Mappings,SYSTEM,LIS (CA 21) UMD - Activiteit L4+,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,60,,,,,,"'└CA 16a. Controle UMD vs Thema', '└ CA 21a. Allocatie naar Kostenplaats Activiteit L4+', '└ CA 21c. UMDT + Inflatie (L4+)', 'CA 39. Other Rekeningcategorie GBR'",,"Rekeningcategorie, Rekeningcategorie Inflatie, Account L12, UMDT sum, Dummy"
IM 75. LIS CA23 Mappings,SYSTEM,LIS (CA 23) UMD - Thema's L3 +,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,65,,,,,,"'└CA 16a. Controle UMD vs Thema', '└  CA 23a. Allocatie naar Kostenplaats Thema L3 +', '└ CA 23c. UMDT + Inflatie (L3+)', 'CA 39. Other Rekeningcategorie GBR'",,"Rekeningcategorie, Rekeningcategorie Inflatie, Account L12, UMDT optelling, Dummy"
IM 76. Grouping SAP BPC to COEA,SYSTEM,Soort (SAP BPC),Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,13,"HV: TBC but if needed but since this is not published anywhere (users dont have access) and its a one dimension thing, I suggest migrating this to its IM module.",,,,,'DA 31. Historical data SAP BPC',,COEA
IM 77. UMDT Items to CA21 SS & CA 23 SS,SYSTEM,UMDT Items,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,22,"HV: Since this is not published anywhere (users dont have access) and its a one dimension thing, I suggest reclassifying this as IM module.",,,,,"'CA 52. UMDT - Thema Regio EG', 'CA 53. UMDT - Activiteit Regio EG', 'RP 13. UMDT - Afdeling'",,"Mapping to CA 21 SS, Mapping to CA 23 SS"
⠀⠀⠀       ◼️ Mapping Modules,,,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,0,HV: Flat modules and not LIS should probably be in IM modules,,,,,,,
== Keep ==,,,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,0,HV: Remove after cleanup.,,,,,,,
MA 01. SPIN -  Organisatie -> Afdeling L5,SYSTEM,SPIN - Organisatie,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,828,,,,,,"'LO 09. Load SPIN KPI Data', 'DA 12. Load Waardes from SPIN'",,"Organisatie, Organisatie TXT, Afdeling, New Afdeling Mapping, Afdeling Final, ---Filter---, Afdeling Unmapped?"
MA 02. Mapping Thema verrijking -> SIP,SYSTEM,SIP Thema L3,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,297,,,,,,"'└ RP 10a. MJP CAPEX - Specificatie', '└ RP 11a. MJP OPEX - Specificatie', '└ RP 12a. MJP Extern - Specificatie'",,"Mapping RP10a, Mapping RP11a, Mapping RP12a"
