,Format,Formula,Summary,Applies To,Time Scale,Time Range,Versions,Style,Cell Count,Populated Cell Count,Memory Used,Calculation Complexity,Calculation Effort,Notes,Read Access Driver,Write Access Driver,Users List,Parent,Is Summary,Formula Scope,Code,Use Switchover,Breakback,Start of Section,Data Tags,Referenced By,Module Name
Elektra,LIST,Product.'Elektriciteit (E)',None,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,"'IP 40. Input Thema L3++ split'.E Final, 'IP 41. Input Activiteit L4+ split'.E Final, 'CA 52. UMDT - Thema Regio EG'.'UMDT excl. inflatie Thema L3++', 'CA 52. UMDT - Thema Regio EG'.'UMDT incl. inflatie Thema L3++', 'CA 53. UMDT - Activiteit Regio EG'.'UMDT excl. inflatie Activiteit L4+', 'CA 53. UMDT - Activiteit Regio EG'.'UMDT incl. inflatie Activiteit L4+'",IM 99. Lookup lists
Gas,LIST,Product.'Gas (G)',None,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,"'IP 40. Input Thema L3++ split'.G Final, 'IP 41. Input Activiteit L4+ split'.G Final, 'CA 52. UMDT - Thema Regio EG'.'UMDT excl. inflatie Thema L3++', 'CA 52. UMDT - Thema Regio EG'.'UMDT incl. inflatie Thema L3++', 'CA 53. UMDT - Activiteit Regio EG'.'UMDT excl. inflatie Activiteit L4+', 'CA 53. UMDT - Activiteit Regio EG'.'UMDT incl. inflatie Activiteit L4+'",IM 99. Lookup lists
OPEX Type,NONE,,None,,Not Applicable,Model Calendar,Not Applicable,Heading1,,,,,,,,,,,false,All Versions,,true,false,false,,,IM 99. Lookup lists
Regulier,LIST,OPEX Type.Regulier,None,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,"'IP 40. Input Thema L3++ split'.OPEX Final, 'IP 41. Input Activiteit L4+ split'.OPEX Final",IM 99. Lookup lists
LIS CA 21,NONE,,None,,Not Applicable,Model Calendar,Not Applicable,Heading1,,,,,,,,,,,false,All Versions,,true,false,false,,,IM 99. Lookup lists
LIS CA 21 UMDT,LIST,'LIS (CA 21) UMD - Activiteit L4+'.'UMDT (€)',None,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,"'IP 41. Input Activiteit L4+ split'.'UMDT excl. Inflatie', '└ CA 21c. UMDT + Inflatie (L4+)'.'Kosten incl. Inflatie en UMDT'",IM 99. Lookup lists
CA 22a,NONE,,None,,Not Applicable,Model Calendar,Not Applicable,Heading1,,,,,,,,,,,false,All Versions,,true,false,false,,,IM 99. Lookup lists
CA 22a - Netwerkontwikkeling,LIST,'LIS (CA 22a) Toeslagen'.'Netwerkontwikkeling toeslag - Calculatie',None,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,'CA 38. Toeslagen GBR'.'Receiving - Indirecte toeslag',IM 99. Lookup lists
CA 22a - VGMK,LIST,'LIS (CA 22a) Toeslagen'.'VGMK toeslag - Calculatie',None,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,'CA 38. Toeslagen GBR'.'Receiving - Indirecte toeslag',IM 99. Lookup lists
CA 22a - Inkoop,LIST,'LIS (CA 22a) Toeslagen'.'Inkoop toeslag - Calculatie',None,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,'CA 38. Toeslagen GBR'.'Receiving - Indirecte toeslag',IM 99. Lookup lists
CA 22a - Bedrijfsvoering,LIST,'LIS (CA 22a) Toeslagen'.'Bedrijfsvoering toeslag - Calculatie',None,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,'CA 38. Toeslagen GBR'.'Receiving - Indirecte toeslag',IM 99. Lookup lists
Indirecte toeslag,LIST,'LIS (CA 22a) Indirecte toeslagen'.'Indirecte toeslag - Calculatie',None,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,,IM 99. Lookup lists
LIS CA 23,NONE,,None,,Not Applicable,Model Calendar,Not Applicable,Heading1,,,,,,,,,,,false,All Versions,,true,false,false,,,IM 99. Lookup lists
LIS CA 23 UMDT,LIST,'LIS (CA 23) UMD - Thema''s L3 +'.'UMDT (€)',None,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,"'IP 40. Input Thema L3++ split'.'UMDT excl. Inflatie', '└ CA 23c. UMDT + Inflatie (L3+)'.'Kosten incl. Inflatie en UMDT', '└ FI 07am. Suppress Zeroes CA 35e.'.Value",IM 99. Lookup lists
LIS CA 24,NONE,,None,,Not Applicable,Model Calendar,Not Applicable,Heading1,,,,,,,,,,,false,All Versions,,true,false,false,,,IM 99. Lookup lists
LIS CA24 Personeelskosten,LIST,'LIS (CA 24) Kostencategorieen voor Uurtariefen'.Personeelkosten,None,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,"'CA 55. Correctiefactor'.Personeelskosten, 'CA 58. Uurtarief Subafdeling'.Opslag per uur",IM 99. Lookup lists
LIS CA24 Totaal,LIST,'LIS (CA 24) Kostencategorieen voor Uurtariefen'.Totaal Kosten,None,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,'CA 25. Budget Uren uitvoeringskosten'.Uitvoeringskosten % Totaal,IM 99. Lookup lists
LIS CA24 Totaal Niet IAS 16,LIST,'LIS (CA 24) Kostencategorieen voor Uurtariefen'.'Totaal niet cf IAS 16',None,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,,IM 99. Lookup lists
LIS CA 24 v2,NONE,,None,,Not Applicable,Model Calendar,Not Applicable,Heading1,,,,,,,,,,,false,All Versions,,true,false,false,,,IM 99. Lookup lists
LIS CA 24 Personeelskosten v2,LIST,'LIS (CA 24) kostencategorieen voor uurtarieven v2'.Personeelkosten,None,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,'CA 57. Uurtarief Afdeling'.Opslag per uur,IM 99. Lookup lists
LIS CA24 Totaal v2,LIST,,None,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,,IM 99. Lookup lists
LIS CA24 Totaal niet IAS 16 v2,LIST,'LIS (CA 24) kostencategorieen voor uurtarieven v2'.'Totaal niet cf IAS 16',None,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,,IM 99. Lookup lists
KPI,NONE,,None,,Not Applicable,Model Calendar,Not Applicable,Heading1,,,,,,,,,,,false,All Versions,,true,false,false,,,IM 99. Lookup lists
PPT #KPI's per page,NUMBER,,None,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,'└ RP 18b. Powerpoint KPI''s Master Data'.Page#,IM 99. Lookup lists
Export FSP,LIST,,None,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,"'SET 05. MJP Version Control'.Export FSP versie?, 'SET 05. MJP Version Control'.Export versie FSP, 'EX 01. Export plan to FSP'.MJP Versie Code, 'EX 01. Export plan to FSP'.Plan exclusief inflatie, 'EX 01. Export plan to FSP'.Plan inclusief inflatie, '└EX 01a. Export netverliezen to FSP'.P, '└EX 01a. Export netverliezen to FSP'.Q, '└EX 01a. Export netverliezen to FSP'.Vergroening, '└EX 01a. Export netverliezen to FSP'.Nacalculaties, '└EX 01a. Export netverliezen to FSP'.Totaal, '└EX 01a. Export netverliezen to FSP'.MJP Versie Code, '└EX 01b. Export IKT Data  to FSP'.Version Code, '└EX 01c. Export IKT growth  to FSP'.Version Code, '└EX 01d. Export Tafel/Thema to FSP'.Version Code, '└EX 01d. Export Tafel/Thema to FSP'.Exclusief inflatie, '└EX 01d. Export Tafel/Thema to FSP'.Inclusief inflatie, 'EX 06. Export inflatie to Datahub'.MJP Version Code, 'EX 06. Export inflatie to Datahub'.'C - Inflatie - Uren', 'EX 06. Export inflatie to Datahub'.'C - Inflatie - Materiaal', 'EX 06. Export inflatie to Datahub'.'C - Inflatie - Diensten derden', 'EX 06. Export inflatie to Datahub'.'C -Gemiddelde Inflatie OPEX', 'EX 06. Export inflatie to Datahub'.'C -Gemiddelde inflatie CAPEX', 'EX xx. Export plan to FSP'.MJP Versie, 'EX xx. Export plan to FSP'.Plan exclusief inflatie, 'EX xx. Export plan to FSP'.Plan inclusief inflatie, 'EX xx. Export plan to FSP'.'Plan inclusief inflatie en groei (Ketens + Netverder)', '└EX 01a. Export plan to FSP - BAK'.MJP Versie, '└EX 01a. Export plan to FSP - BAK'.Plan exclusief inflatie, '└EX 01a. Export plan to FSP - BAK'.Plan inclusief inflatie, '└EX 01a. Export plan to FSP - BAK'.Plan inclusief inflatie en groei, '└EX 01b. Export plan to FSP - % Personeelkosten'.MJP Versie, '└EX 01b. Export plan to FSP - % Personeelkosten'.Personeelskosten MJP inclusief inflatie",IM 99. Lookup lists
Export AAC x UMD,LIST,,None,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,"'EX 05. DB/TS export to AACxUMD'.%, 'EX 07. Uurtarief export to Data Hub Subafdeling'.Uurtarief, 'EX 08. Uurtarief export to Data Hub Afdeling'.Uurtarief, 'EX 09. Export Directe Toeslagen to AACx UMD'.Name toeslag, 'EX 09. Export Directe Toeslagen to AACx UMD'.Toeslag %",IM 99. Lookup lists
TEMP 2026,TIME PERIOD,,None,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,,IM 99. Lookup lists
KPI or Randvoorwaarde - KPI,LIST,'KPI''s - KPI of Groepering'.KPI,None,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,'IP 48. KPI report creation input'.KPI?,IM 99. Lookup lists
KPI or Randvoorwaarde - Randvoorwaarde?,LIST,'KPI''s - KPI of Groepering'.Groepering,None,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,'IP 48. KPI report creation input'.Randvoorwaarde?,IM 99. Lookup lists
Images,NONE,,None,,Not Applicable,Model Calendar,Not Applicable,Heading1,,,,,,,,,,,false,All Versions,,true,false,false,,,IM 00. Images
Stedin Groep,TEXT,,None,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,,IM 00. Images
Refresh,TEXT,,None,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,,IM 00. Images
Output / Reporting,TEXT,,None,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,,IM 00. Images
Upload,TEXT,,None,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,,IM 00. Images
Input,TEXT,,None,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,,IM 00. Images
Error,TEXT,,None,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,,IM 00. Images
Trainings,NONE,,None,,Not Applicable,Model Calendar,Not Applicable,Heading1,,,,,,,,,,,false,All Versions,,true,false,false,,,IM 00. Images
Link 1,TEXT,"MAKELINK(""Video Training 1"", ""https://tinyurl.com/MJP-Training"")",None,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,,IM 00. Trainingen
Link 2,TEXT,"MAKELINK(""Video Training 2"", ""https://tinyurl.com/MJP-Training-2"")",None,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,,IM 00. Trainingen
ITEM,LIST,ITEM('Account L12'),None,Account L12,Not Applicable,Model Calendar,Not Applicable,Normal,7120,,,,,,,,,,false,All Versions,,true,false,false,,"'└ IP 10a. Verdeling naar grootboekrekening'.OPEX, '└ IP 10a. Verdeling naar grootboekrekening'.CAPEX, '└ IP 10a. Verdeling naar grootboekrekening'.Extern, '└ IP 10a. Verdeling naar grootboekrekening'.Afdelingkosten, '└ IP 10b. Verdeling naar grootboekrekening - Import'.Account, 'CA 36. Doorbelastingen naar Maand'.Doorbelastingen, 'CA 45. Doorbelasting inflatie staging'.Exclusief inflatie, 'CA 45. Doorbelasting inflatie staging'.Inclusief inflatie, '└ FI 07f. User Filters - Account'.'Filter Account DB/TS', Code, Name",IM 01. Account L12
Code,TEXT,CODE(ITEM),None,Account L12,Not Applicable,Model Calendar,Not Applicable,Normal,7120,,,,,,,,,,false,All Versions,,true,false,false,,'└ IP 10a NEW. Verdeling naar grootboekrekening'.Unicode text,IM 01. Account L12
Name,TEXT,NAME(ITEM),None,Account L12,Not Applicable,Model Calendar,Not Applicable,Normal,7120,,,,,,,,,,false,All Versions,,true,false,false,,'└ IP 10a. Verdeling naar grootboekrekening'.Concat Short,IM 01. Account L12
Account group Load,TEXT,,None,Account L12,Not Applicable,Model Calendar,Not Applicable,Normal,7120,,,,,from LO 05.,,,,,false,All Versions,,true,false,false,,Loaded grouping,IM 01. Account L12
Loaded grouping,LIST,"FINDITEM('Account L12', Account group Load)",None,Account L12,Not Applicable,Model Calendar,Not Applicable,Normal,7120,,,,,,,,,,false,All Versions,,true,false,false,,"'DA 31. Historical data SAP BPC'.'AN Grouped L12', Final Grouping",IM 01. Account L12
Overwrite,LIST,,None,Account L12,Not Applicable,Model Calendar,Not Applicable,Normal,7120,,,,,,,,,,false,All Versions,,true,false,false,,Final Grouping,IM 01. Account L12
Final Grouping,LIST,IF ISNOTBLANK(Overwrite) THEN Overwrite ELSE Loaded grouping,None,Account L12,Not Applicable,Model Calendar,Not Applicable,Normal,7120,,,,,,,,,,false,All Versions,,true,false,false,,,IM 01. Account L12
Kostensoort,LIST,,None,Account L12,Not Applicable,Model Calendar,Not Applicable,Normal,7120,,,,,,,,,,false,All Versions,,true,false,false,,"'FI 10. Account'.Personeelskosten, 'FI 10. Account'.Inleenkosten, 'SS - Account L12 - Inleen', 'SS - Account L12 - Personeelskosten'",IM 01. Account L12
Booleans,NONE,,None,Account L12,Not Applicable,Model Calendar,Not Applicable,Heading1,,,,,,,,,,,false,All Versions,,true,false,false,,,IM 01. Account L12
CAPEX,BOOLEAN,'FI 17. Account L12 - budget - COEA'.Show?[LOOKUP: 'IM 99. Lookup lists'.'COEA - CAPEX'],None,Account L12,Not Applicable,Model Calendar,Not Applicable,Normal,7120,,,,,,,,,,false,All Versions,,true,false,false,,'└ IP 10a. Verdeling naar grootboekrekening'.CAPEX,IM 01. Account L12
OPEX,BOOLEAN,'FI 17. Account L12 - budget - COEA'.Show?[LOOKUP: 'IM 99. Lookup lists'.'COEA - OPEX'],None,Account L12,Not Applicable,Model Calendar,Not Applicable,Normal,7120,,,,,,,,,,false,All Versions,,true,false,false,,'└ IP 10a. Verdeling naar grootboekrekening'.OPEX,IM 01. Account L12
Extern,BOOLEAN,'FI 17. Account L12 - budget - COEA'.Show?[LOOKUP: 'IM 99. Lookup lists'.'COEA - Extern'],None,Account L12,Not Applicable,Model Calendar,Not Applicable,Normal,7120,,,,,,,,,,false,All Versions,,true,false,false,,'└ IP 10a. Verdeling naar grootboekrekening'.Extern,IM 01. Account L12
Afdelingskosten,BOOLEAN,'FI 17. Account L12 - budget - COEA'.Show?[LOOKUP: 'IM 99. Lookup lists'.'COEA - Afdelingskosten'],None,Account L12,Not Applicable,Model Calendar,Not Applicable,Normal,7120,,,,,,,,,,false,All Versions,,true,false,false,,'└ IP 10a. Verdeling naar grootboekrekening'.Afdelingkosten,IM 01. Account L12
Delete,BOOLEAN,TRUE,Any,Account L12,Not Applicable,Model Calendar,Not Applicable,Normal,7121,,,,,,,,,,false,All Versions,,true,false,false,,,IM 01. Account L12
Filter Budget,BOOLEAN,,None,Account L12,Not Applicable,Model Calendar,Not Applicable,Normal,7120,,,,,,,,,,false,All Versions,,true,false,false,,,IM 01. Account L12
Delete?,BOOLEAN,,None,Account L12,Not Applicable,Model Calendar,Not Applicable,Normal,7120,,,,,Manueel verwijderen via Admin DB,,,,,false,All Versions,,true,false,false,,,IM 01. Account L12
Value in actuals?,BOOLEAN,'DA 31. Historical data SAP BPC'.Waarde[SUM: 'DA 31. Historical data SAP BPC'.AN Grootboekrekening] <> 0,None,Account L12,Not Applicable,Model Calendar,Not Applicable,Normal,7120,,,,,,,,,,false,All Versions,,true,false,false,,"Filter Create Active SS, Filter Create Budget SS",IM 01. Account L12
Value in budget?,BOOLEAN,TIMESUM('└ IP 10d. Calculatie seizoenspatronen'.'Waarde in Account L12') <> 0,None,Account L12,Not Applicable,Model Calendar,Not Applicable,Normal,7120,,,,,,,,,,false,All Versions,,true,false,false,,Filter Create Budget SS,IM 01. Account L12
Filter Overige personeelskosten,BOOLEAN,,None,Account L12,Not Applicable,Model Calendar,Not Applicable,Normal,7120,,,,,,,,,,false,All Versions,,true,false,false,,"'└ IP 10c. Selecteer seizoenspatroon'.'Not Automatische Allocatie?', 'FI 10. Account'.Overige personeelskosten",IM 01. Account L12
Filter Create Active SS,BOOLEAN,Value in actuals?,None,Account L12,Not Applicable,Model Calendar,Not Applicable,Normal,7120,,,,,,,,,,false,All Versions,,true,false,false,,,IM 01. Account L12
Filter Create Budget SS,BOOLEAN,Value in actuals? AND Value in budget?,None,Account L12,Not Applicable,Model Calendar,Not Applicable,Normal,7120,,,,,,,,,,false,All Versions,,true,false,false,,,IM 01. Account L12
SS Account L12 Active?,BOOLEAN,'SS Account L12 Active? Subsidiary View',None,Account L12,Not Applicable,Model Calendar,Not Applicable,Normal,7120,,,,,,,,,,false,All Versions,,true,false,false,,,IM 01. Account L12
SS Account L12 Budget?,BOOLEAN,'SS Account L12 Budget? Subsidiary View',None,Account L12,Not Applicable,Model Calendar,Not Applicable,Normal,7120,,,,,,,,,,false,All Versions,,true,false,false,,,IM 01. Account L12
Filter active SS,BOOLEAN,'SS Account L12 Active? Subsidiary View',None,Account L12,Not Applicable,Model Calendar,Not Applicable,Normal,7120,,,,,,,,,,false,All Versions,,true,false,false,,,IM 01. Account L12
Filter budget SS,BOOLEAN,'SS Account L12 Budget? Subsidiary View',None,Account L12,Not Applicable,Model Calendar,Not Applicable,Normal,7120,,,,,,,,,,false,All Versions,,true,false,false,,,IM 01. Account L12
SS - Account L12 - Inleen,BOOLEAN,Kostensoort = Kostensoort.Inleen,None,Account L12,Not Applicable,Model Calendar,Not Applicable,Normal,7120,,,,,,,,,,false,All Versions,,true,false,false,,'SS - Account L12 - Allocation',IM 01. Account L12
SS - Account L12 - Personeelskosten,BOOLEAN,Kostensoort = Kostensoort.Personeel,None,Account L12,Not Applicable,Model Calendar,Not Applicable,Normal,7120,,,,,,,,,,false,All Versions,,true,false,false,,'SS - Account L12 - Allocation',IM 01. Account L12
SS - Account L12 - IC,BOOLEAN,ITEM('Account L12') = ITEM('SS - Account L12 - IC'),None,Account L12,Not Applicable,Model Calendar,Not Applicable,Normal,7120,,,,,,,,,,false,All Versions,,true,false,false,,'SS - Account L12 - Allocation',IM 01. Account L12
SS - Account L12 - DB/TS,BOOLEAN,ITEM('Account L12') = ITEM('SS - Account L12 - DB/TS'),None,Account L12,Not Applicable,Model Calendar,Not Applicable,Normal,7120,,,,,,,,,,false,All Versions,,true,false,false,,'SS - Account L12 - Allocation',IM 01. Account L12
SS - Account L12 - UMD,BOOLEAN,ITEM('Account L12') = ITEM('SS - Account L12 - UMD'),None,Account L12,Not Applicable,Model Calendar,Not Applicable,Normal,7120,,,,,,,,,,false,All Versions,,true,false,false,,'SS - Account L12 - Allocation',IM 01. Account L12
SS - Account L12 - Allocation,BOOLEAN,'SS - Account L12 - IC' OR 'SS - Account L12 - DB/TS' OR 'SS - Account L12 - UMD' OR 'SS - Account L12 - Personeelskosten' OR 'SS - Account L12 - Inleen',None,Account L12,Not Applicable,Model Calendar,Not Applicable,Normal,7120,,,,,,,,,,false,All Versions,,true,false,false,,,IM 01. Account L12
Techincal,NONE,,None,Account L12,Not Applicable,Model Calendar,Not Applicable,Heading1,,,,,,,,,,,false,All Versions,,true,false,false,,,IM 01. Account L12
SS Account L12 Active? Subsidiary View,BOOLEAN,TRUE,None,SS - Account L12 - Active,Not Applicable,Model Calendar,Not Applicable,Normal,279,,,,,,,,,,false,All Versions,,true,false,false,,"'SS Account L12 Active?', Filter active SS",IM 01. Account L12
SS Account L12 Budget? Subsidiary View,BOOLEAN,TRUE,None,SS - Account L12 - Budget,Not Applicable,Model Calendar,Not Applicable,Normal,128,,,,,,,,,,false,All Versions,,true,false,false,,"'SS Account L12 Budget?', Filter budget SS",IM 01. Account L12
Budget?,BOOLEAN,,None,SS - Account L12 - Used,Not Applicable,Model Calendar,Not Applicable,Normal,1372,,,,,,,,,,false,All Versions,,true,false,false,,"IC?, 'DB/TS ss?', 'SEC 03. Subset Account L12 - Budget Access'.'Write - Not In Budget and Used? SS Budget', 'SEC 03. Subset Account L12 - Budget Access'.'Write - Not In Budget and Used? SS Used'",└ IM 01a. Account L12 - used
IC?,BOOLEAN,IF Budget? AND Mapping GREN = 'LIS (DA45) Budgetitems'.IC THEN TRUE ELSE FALSE,None,SS - Account L12 - Used,Not Applicable,Model Calendar,Not Applicable,Normal,1372,,,,,,,,,,false,All Versions,,true,false,false,,'Account L12'.Dependent dropdown,└ IM 01a. Account L12 - used
Mapping GREN,LIST,,None,SS - Account L12 - Used,Not Applicable,Model Calendar,Not Applicable,Normal,1372,,,,,,,,,,false,All Versions,,true,false,false,,"'└ IP 10a. Verdeling naar grootboekrekening'.Driver, '└ IP 10a. Verdeling naar grootboekrekening'.Final Waarde, '└ IP 10a. Verdeling naar grootboekrekening'.'Waarde + Driver', '└ IP 10a. Verdeling naar grootboekrekening'.Mapping GREN, '└ IP 10a. Verdeling naar grootboekrekening'.CF Eigen Invoer, '└ IP 10a. Verdeling naar grootboekrekening'.Write?, '└ IP 10a. Verdeling naar grootboekrekening'.Driver for automatisch, '└ IP 10a. Verdeling naar grootboekrekening'.Driver for LY actuals, '└ IP 10a. Verdeling naar grootboekrekening'.Driver for prev version, '└ IP 10c. Selecteer seizoenspatroon'.Finaal seizoenspatroon OLD, 'CA 11. Verdeling naar Grootboekrekening overzicht'.Verdeeld, '└ FI 07f. User Filters - Account'.GREN, IC?, Mapping Rekeningcategorie, 'DB/TS ss?', 'IM 20. COEA-KP-ACC'.Kostensoort",└ IM 01a. Account L12 - used
Mapping Rekeningcategorie,LIST,"FINDITEM(Rekeningcategorie, NAME(Mapping GREN))",None,SS - Account L12 - Used,Not Applicable,Model Calendar,Not Applicable,Normal,1372,,,,,,,,,,false,All Versions,,true,false,false,,"'└ DA 31b.  Historical Data Aggregated'.Waarde per Rekeningcategorie, '└ IP 10a NEW. Verdeling naar grootboekrekening'.Driver for automatisch, 'CA 11 NEW. Verdeling naar Grootboekrekening'.Verdeeld, '└ FI 07f. User Filters - Account'.Rekeningcategorie, 'Account L12'.Kostensoort GREN",└ IM 01a. Account L12 - used
L12?,BOOLEAN,TRUE,None,SS - Account L12 - Used,Not Applicable,Model Calendar,Not Applicable,Normal,1372,,,,,,,,,,false,All Versions,,true,false,false,,"'MA 08. Acount L12 aggregation mapping'.Part of Subset?, 'MA 09. Account L12 aggregation mapping - Version based'.Part of Subset?",└ IM 01a. Account L12 - used
DB/TS ss?,BOOLEAN,(Mapping GREN = 'LIS (DA45) Budgetitems'.Doorbelastingen OR Mapping GREN = 'LIS (DA45) Budgetitems'.Toeslag Direct OR Mapping GREN = 'LIS (DA45) Budgetitems'.Toeslag Indirect) AND Budget?,None,SS - Account L12 - Used,Not Applicable,Model Calendar,Not Applicable,Normal,1372,,,,,,,,,,false,All Versions,,true,false,false,,,└ IM 01a. Account L12 - used
ITEM,LIST,ITEM('Entiteit L3'),Formula,Entiteit L3,Not Applicable,Model Calendar,Not Applicable,Normal,48,,,,,,,,,,false,All Versions,,true,false,false,,"Is Top Level?, CODE",IM 04. Entiteit
Is Top Level?,BOOLEAN,ITEM = 'Entiteit L3'.Totaal geconsolideerd,Formula,Entiteit L3,Not Applicable,Model Calendar,Not Applicable,Normal,48,,,,,,,,,,false,All Versions,,true,false,false,,,IM 04. Entiteit
CODE,TEXT,CODE(ITEM),None,Entiteit L3,Not Applicable,Model Calendar,Not Applicable,Normal,47,,,,,,,,,,false,All Versions,,true,false,false,,'IP 11. IC & Leenmonteurs input'.E Code,IM 04. Entiteit
IC Code,LIST,"FINDITEM(IC Code, IC Code Text)",None,Entiteit L3,Not Applicable,Model Calendar,Not Applicable,Normal,47,,,,,,,,,,false,All Versions,,true,false,false,,'IP 11. IC & Leenmonteurs input'.IC code,IM 04. Entiteit
IC Code Text,TEXT,,None,Entiteit L3,Not Applicable,Model Calendar,Not Applicable,Normal,47,,,,,,,,,,false,All Versions,,true,false,false,,IC Code,IM 04. Entiteit
Page selector filter,BOOLEAN,,None,Entiteit L3,Not Applicable,Model Calendar,Not Applicable,Normal,47,,,,,,,,,,false,All Versions,,true,false,false,,,IM 04. Entiteit
Final BS Page selector filter,BOOLEAN,,None,Entiteit L3,Not Applicable,Model Calendar,Not Applicable,Normal,47,,,,,,,,,,false,All Versions,,true,false,false,,,IM 04. Entiteit
Leaf,NUMBER,1,Sum,Entiteit L3,Not Applicable,Model Calendar,Not Applicable,Normal,48,,,,,,,,,,false,All Versions,,true,false,false,,Count,IM 04. Entiteit
Count,NUMBER,Leaf,Sum,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,true,All Versions,,true,false,false,,,IM 04. Entiteit
BAK Afdeling,LIST,,None,Entiteit L3,Not Applicable,Model Calendar,Not Applicable,Normal,47,,,,,,,,,,false,All Versions,,true,false,false,,,IM 04. Entiteit
BAK Afdelingsgroep,LIST,,None,Entiteit L3,Not Applicable,Model Calendar,Not Applicable,Normal,47,,,,,,,,,,false,All Versions,,true,false,false,,,IM 04. Entiteit
Logic 1: Stedin Holding E1000,BOOLEAN,,None,Entiteit L3,Not Applicable,Model Calendar,Not Applicable,Normal,47,,,,,,,,,,false,All Versions,,true,false,false,,,IM 04. Entiteit
Logic 2: Dummy C1132 E1999,BOOLEAN,,None,Entiteit L3,Not Applicable,Model Calendar,Not Applicable,Normal,47,,,,,,,,,,false,All Versions,,true,false,false,,,IM 04. Entiteit
Logic 3: Stedin Netbeheer B.V. E4010,BOOLEAN,,None,Entiteit L3,Not Applicable,Model Calendar,Not Applicable,Normal,47,,,,,,,,,,false,All Versions,,true,false,false,,,IM 04. Entiteit
Logic 4: Enduris B.V. E7010,BOOLEAN,,None,Entiteit L3,Not Applicable,Model Calendar,Not Applicable,Normal,47,,,,,,,,,,false,All Versions,,true,false,false,,,IM 04. Entiteit
Logic 5: Gereguleerd,BOOLEAN,,None,Entiteit L3,Not Applicable,Model Calendar,Not Applicable,Normal,47,,,,,,,,,,false,All Versions,,true,false,false,,,IM 04. Entiteit
Actief in IC?,BOOLEAN,,None,Entiteit L3,Not Applicable,Model Calendar,Not Applicable,Normal,47,,,,,,,,,,false,All Versions,,true,false,false,,,IM 04. Entiteit
ITEM,LIST,ITEM('Afdelingsgroep L4'),None,Afdelingsgroep L4,Not Applicable,Model Calendar,Not Applicable,Normal,50,,,,,,,,,,false,All Versions,,true,false,false,,"CODE, Entiteit",IM 05a. Afdelingsgroep
